platform,post_id_hash,brand,market_group,country_or_region,price_tier,product_category,keyword,publish_time,collect_time,title,description,hashtags,like_count,comment_count,collect_count,share_count,author_follower_bucket,is_sponsored_hint
xiaohongshu,bfcf499a71afc53620a7,CLIO,K-beauty,South Korea,mid,base,CLIO 粉饼 测评,2026-02-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,CLIO 粉饼｜学生党平替,通勤使用8小时记录，学生党平替。,#粉饼 #K-beauty,668,74,217,35,1k-10k,False
xiaohongshu,7a98d731134b79423781,CLIO,K-beauty,South Korea,mid,base,CLIO 粉饼 测评,2026-04-18 00:00:00+00:00,2026-06-30 00:00:00+00:00,CLIO 粉饼｜学生党平替,通勤使用8小时记录，学生党平替。下午会暗沉,#粉饼 #K-beauty,295,29,82,6,100k-1m,False
xiaohongshu,ca6f52659941e9c101f7,CLIO,K-beauty,South Korea,mid,base,CLIO 气垫 测评,2026-03-13 00:00:00+00:00,2026-06-30 00:00:00+00:00,CLIO 气垫｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。略微沾杯,#气垫 #K-beauty,84,9,14,8,10k-100k,False
xiaohongshu,3f39bbb7eefa600a33ff,CLIO,K-beauty,South Korea,mid,base,CLIO 气垫 测评,2026-05-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,CLIO 气垫｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。敏感肌先试用,#气垫 #K-beauty,278,13,52,16,10k-100k,False
xiaohongshu,fa6f36a27d8ef3498a2a,CLIO,K-beauty,South Korea,mid,base,CLIO 粉底液 测评,2026-05-18 00:00:00+00:00,2026-06-30 00:00:00+00:00,CLIO 粉底液｜学生党平替,通勤使用8小时记录，学生党平替。下午会暗沉,#粉底液 #K-beauty,1293,70,334,74,1k-10k,False
douyin,f1076c7c63137867d018,CLIO,K-beauty,South Korea,mid,base,CLIO 气垫 测评,2026-02-07 00:00:00+00:00,2026-06-30 00:00:00+00:00,CLIO 气垫｜轻薄服帖,通勤使用8小时记录，轻薄服帖。敏感肌先试用,#气垫 #K-beauty,882,101,228,40,10k-100k,False
douyin,ffb796bcc3e641b1121d,CLIO,K-beauty,South Korea,mid,base,CLIO 粉饼 测评,2026-02-18 00:00:00+00:00,2026-06-30 00:00:00+00:00,CLIO 粉饼｜轻薄服帖,通勤使用8小时记录，轻薄服帖。,#粉饼 #K-beauty,325,32,90,12,10k-100k,False
douyin,d02f3aef743c5c90c169,CLIO,K-beauty,South Korea,mid,base,CLIO 粉饼 测评,2026-03-02 00:00:00+00:00,2026-06-30 00:00:00+00:00,CLIO 粉饼｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。干皮可能拔干,#粉饼 #K-beauty,216,15,47,17,10k-100k,False
douyin,a4985e1d2c5fae5af0d8,CLIO,K-beauty,South Korea,mid,base,CLIO 粉底液 测评,2026-05-19 00:00:00+00:00,2026-06-30 00:00:00+00:00,CLIO 粉底液｜轻薄服帖,通勤使用8小时记录，轻薄服帖。但有点卡粉,#粉底液 #K-beauty,488,39,137,45,10k-100k,False
douyin,346dc1a988b298e9b4c6,CLIO,K-beauty,South Korea,mid,base,CLIO 气垫 测评,2026-01-07 00:00:00+00:00,2026-06-30 00:00:00+00:00,CLIO 气垫｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。,#气垫 #K-beauty,366,15,129,7,10k-100k,False
xiaohongshu,6809d35bf0af084043c9,dasique,K-beauty,South Korea,mid,lip,dasique 唇釉 测评,2026-03-30 00:00:00+00:00,2026-06-30 00:00:00+00:00,dasique 唇釉｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。但有点卡粉,#唇釉 #K-beauty,28,1,4,2,100k-1m,False
xiaohongshu,07e1db0f12fb0c5eea59,dasique,K-beauty,South Korea,mid,eye,dasique 眼影 测评,2026-04-05 00:00:00+00:00,2026-06-30 00:00:00+00:00,dasique 眼影｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。,#眼影 #K-beauty,40,1,13,3,100k-1m,False
xiaohongshu,364c1b206f3e6ae7a0ac,dasique,K-beauty,South Korea,mid,eye,dasique 眉笔 测评,2026-05-17 00:00:00+00:00,2026-06-30 00:00:00+00:00,dasique 眉笔｜持妆实测,通勤使用8小时记录，持妆实测。略微沾杯,#眉笔 #K-beauty,56,5,20,2,100k-1m,False
xiaohongshu,4a173945b77082c3c1d6,dasique,K-beauty,South Korea,mid,lip,dasique 唇泥 测评,2026-06-15 00:00:00+00:00,2026-06-30 00:00:00+00:00,dasique 唇泥｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。下午会暗沉,#唇泥 #K-beauty,35,1,12,0,10k-100k,False
xiaohongshu,b973440808960f2f81e1,dasique,K-beauty,South Korea,mid,eye,dasique 眼影 测评,2026-02-08 00:00:00+00:00,2026-06-30 00:00:00+00:00,dasique 眼影｜轻薄服帖,通勤使用8小时记录，轻薄服帖。敏感肌先试用,#眼影 #K-beauty,561,54,191,10,1k-10k,False
douyin,aa9684c62f611c8177f7,dasique,K-beauty,South Korea,mid,eye,dasique 眉笔 测评,2026-03-15 00:00:00+00:00,2026-06-30 00:00:00+00:00,dasique 眉笔｜轻薄服帖,通勤使用8小时记录，轻薄服帖。下午会暗沉,#眉笔 #K-beauty,112,6,29,3,10k-100k,False
douyin,5eca88ba4298d5841563,dasique,K-beauty,South Korea,mid,eye,dasique 眼影 测评,2026-04-06 00:00:00+00:00,2026-06-30 00:00:00+00:00,dasique 眼影｜黄皮显白,通勤使用8小时记录，黄皮显白。敏感肌先试用,#眼影 #K-beauty,1245,122,180,119,10k-100k,False
douyin,b01aca0f52fdc8b22fd3,dasique,K-beauty,South Korea,mid,lip,dasique 唇泥 测评,2026-06-26 00:00:00+00:00,2026-06-30 00:00:00+00:00,dasique 唇泥｜持妆实测,通勤使用8小时记录，持妆实测。敏感肌先试用,#唇泥 #K-beauty,367,9,30,17,10k-100k,False
douyin,ceb9a5f04339585dc912,dasique,K-beauty,South Korea,mid,eye,dasique 眼影 测评,2026-05-12 00:00:00+00:00,2026-06-30 00:00:00+00:00,dasique 眼影｜持妆实测,通勤使用8小时记录，持妆实测。下午会暗沉,#眼影 #K-beauty,540,63,196,50,1k-10k,False
douyin,1ecd94f9ffb35cf46d60,dasique,K-beauty,South Korea,mid,eye,dasique 睫毛膏 测评,2026-06-12 00:00:00+00:00,2026-06-30 00:00:00+00:00,dasique 睫毛膏｜持妆实测,通勤使用8小时记录，持妆实测。,#睫毛膏 #K-beauty,2391,195,291,70,1k-10k,False
xiaohongshu,a543d8a179df4dc3ea5f,fwee,K-beauty,South Korea,mid,lip,fwee 唇泥 测评,2026-05-03 00:00:00+00:00,2026-06-30 00:00:00+00:00,fwee 唇泥｜黄皮显白,通勤使用8小时记录，黄皮显白。干皮可能拔干,#唇泥 #K-beauty,472,42,184,32,1k-10k,False
xiaohongshu,5df115703f259b66db32,fwee,K-beauty,South Korea,mid,lip,fwee 唇泥 测评,2026-02-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,fwee 唇泥｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。,#唇泥 #K-beauty,273,26,58,10,10k-100k,False
xiaohongshu,18a4877150d016ce73b3,fwee,K-beauty,South Korea,mid,lip,fwee 口红 测评,2026-04-26 00:00:00+00:00,2026-06-30 00:00:00+00:00,fwee 口红｜水光奶油肌,通勤使用8小时记录，水光奶油肌。,#口红 #K-beauty,89,7,16,4,100k-1m,False
xiaohongshu,f9927799907a8fb4ea30,fwee,K-beauty,South Korea,mid,lip,fwee 唇釉 测评,2026-04-08 00:00:00+00:00,2026-06-30 00:00:00+00:00,fwee 唇釉｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。干皮可能拔干,#唇釉 #K-beauty,478,51,77,39,10k-100k,False
xiaohongshu,b7adde89244419a3c493,fwee,K-beauty,South Korea,mid,lip,fwee 唇泥 测评,2026-05-18 00:00:00+00:00,2026-06-30 00:00:00+00:00,fwee 唇泥｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。干皮可能拔干,#唇泥 #K-beauty,146,8,14,6,100k-1m,False
douyin,82c370aaf63dbd89c522,fwee,K-beauty,South Korea,mid,lip,fwee 口红 测评,2026-03-27 00:00:00+00:00,2026-06-30 00:00:00+00:00,fwee 口红｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。但有点卡粉,#口红 #K-beauty,130,10,38,3,1k-10k,False
douyin,4ca44d82765aa1e9b4a4,fwee,K-beauty,South Korea,mid,lip,fwee 口红 测评,2026-04-10 00:00:00+00:00,2026-06-30 00:00:00+00:00,fwee 口红｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。略微沾杯,#口红 #K-beauty,285,21,57,23,100k-1m,False
douyin,6c1daa5d803719d83ac4,fwee,K-beauty,South Korea,mid,lip,fwee 唇泥 测评,2026-04-19 00:00:00+00:00,2026-06-30 00:00:00+00:00,fwee 唇泥｜持妆实测,通勤使用8小时记录，持妆实测。略微沾杯,#唇泥 #K-beauty,238,17,64,6,1k-10k,False
douyin,1feaaedd672d93c1719f,fwee,K-beauty,South Korea,mid,lip,fwee 唇釉 测评,2026-02-08 00:00:00+00:00,2026-06-30 00:00:00+00:00,fwee 唇釉｜水光奶油肌,通勤使用8小时记录，水光奶油肌。下午会暗沉,#唇釉 #K-beauty,55,4,18,3,100k-1m,False
douyin,563ebcd30461272cb1be,fwee,K-beauty,South Korea,mid,lip,fwee 唇釉 测评,2026-01-16 00:00:00+00:00,2026-06-30 00:00:00+00:00,fwee 唇釉｜轻薄服帖,通勤使用8小时记录，轻薄服帖。,#唇釉 #K-beauty,354,32,102,17,1k-10k,False
xiaohongshu,307a45e7fae174654fbe,TIRTIR,K-beauty,South Korea,mid,base,TIRTIR 粉底液 测评,2026-01-09 00:00:00+00:00,2026-06-30 00:00:00+00:00,TIRTIR 粉底液｜水光奶油肌,通勤使用8小时记录，水光奶油肌。但有点卡粉,#粉底液 #K-beauty,477,37,110,33,10k-100k,False
xiaohongshu,49caf1873c4f98848d3b,TIRTIR,K-beauty,South Korea,mid,base,TIRTIR 粉底液 测评,2026-06-29 00:00:00+00:00,2026-06-30 00:00:00+00:00,TIRTIR 粉底液｜黄皮显白,通勤使用8小时记录，黄皮显白。下午会暗沉,#粉底液 #K-beauty,46,2,12,2,1k-10k,False
xiaohongshu,0aaa6c1faac5f95c8e67,TIRTIR,K-beauty,South Korea,mid,base,TIRTIR 粉底液 测评,2026-01-31 00:00:00+00:00,2026-06-30 00:00:00+00:00,TIRTIR 粉底液｜水光奶油肌,通勤使用8小时记录，水光奶油肌。下午会暗沉,#粉底液 #K-beauty,417,46,91,31,1k-10k,False
xiaohongshu,3303c22068032ba01db9,TIRTIR,K-beauty,South Korea,mid,base,TIRTIR 粉饼 测评,2026-01-15 00:00:00+00:00,2026-06-30 00:00:00+00:00,TIRTIR 粉饼｜黄皮显白,通勤使用8小时记录，黄皮显白。下午会暗沉,#粉饼 #K-beauty,181,16,12,12,10k-100k,False
xiaohongshu,4cb1be247f3ecfeaf07a,TIRTIR,K-beauty,South Korea,mid,base,TIRTIR 气垫 测评,2026-03-28 00:00:00+00:00,2026-06-30 00:00:00+00:00,TIRTIR 气垫｜水光奶油肌,通勤使用8小时记录，水光奶油肌。但有点卡粉,#气垫 #K-beauty,321,9,112,16,100k-1m,False
douyin,9c90c90504c75ced908c,TIRTIR,K-beauty,South Korea,mid,base,TIRTIR 粉饼 测评,2026-01-28 00:00:00+00:00,2026-06-30 00:00:00+00:00,TIRTIR 粉饼｜持妆实测,通勤使用8小时记录，持妆实测。但有点卡粉,#粉饼 #K-beauty,178,20,40,11,100k-1m,False
douyin,ed6eab5d7a1fdb36a2c6,TIRTIR,K-beauty,South Korea,mid,base,TIRTIR 粉饼 测评,2026-02-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,TIRTIR 粉饼｜轻薄服帖,通勤使用8小时记录，轻薄服帖。敏感肌先试用,#粉饼 #K-beauty,443,26,26,17,100k-1m,False
douyin,2055c970a33763872f3b,TIRTIR,K-beauty,South Korea,mid,base,TIRTIR 粉底液 测评,2026-06-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,TIRTIR 粉底液｜轻薄服帖,通勤使用8小时记录，轻薄服帖。但有点卡粉,#粉底液 #K-beauty,105,5,24,3,1k-10k,False
douyin,577df6d5c0c4db91f37b,TIRTIR,K-beauty,South Korea,mid,base,TIRTIR 粉底液 测评,2026-02-25 00:00:00+00:00,2026-06-30 00:00:00+00:00,TIRTIR 粉底液｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。但有点卡粉,#粉底液 #K-beauty,686,34,85,18,10k-100k,False
douyin,da580dc9cf36f18e1556,TIRTIR,K-beauty,South Korea,mid,base,TIRTIR 粉饼 测评,2026-02-09 00:00:00+00:00,2026-06-30 00:00:00+00:00,TIRTIR 粉饼｜水光奶油肌,通勤使用8小时记录，水光奶油肌。略微沾杯,#粉饼 #K-beauty,2091,55,647,113,10k-100k,False
xiaohongshu,7c69b25d86fe9bbe4487,JUNG SAEM MOOL,K-beauty,South Korea,premium,base,JUNG SAEM MOOL 气垫 测评,2026-01-15 00:00:00+00:00,2026-06-30 00:00:00+00:00,JUNG SAEM MOOL 气垫｜学生党平替,通勤使用8小时记录，学生党平替。,#气垫 #K-beauty,1084,94,115,94,1k-10k,False
xiaohongshu,7b4bedae0758319f94e1,JUNG SAEM MOOL,K-beauty,South Korea,premium,base,JUNG SAEM MOOL 粉底液 测评,2026-01-16 00:00:00+00:00,2026-06-30 00:00:00+00:00,JUNG SAEM MOOL 粉底液｜学生党平替,通勤使用8小时记录，学生党平替。干皮可能拔干,#粉底液 #K-beauty,145,4,57,5,1k-10k,False
xiaohongshu,94c1288e830b0e165b68,JUNG SAEM MOOL,K-beauty,South Korea,premium,base,JUNG SAEM MOOL 粉底液 测评,2026-04-07 00:00:00+00:00,2026-06-30 00:00:00+00:00,JUNG SAEM MOOL 粉底液｜学生党平替,通勤使用8小时记录，学生党平替。,#粉底液 #K-beauty,482,13,73,9,10k-100k,False
xiaohongshu,caa6641d17a345c060d2,JUNG SAEM MOOL,K-beauty,South Korea,premium,base,JUNG SAEM MOOL 粉饼 测评,2026-01-05 00:00:00+00:00,2026-06-30 00:00:00+00:00,JUNG SAEM MOOL 粉饼｜黄皮显白,通勤使用8小时记录，黄皮显白。,#粉饼 #K-beauty,81,2,29,5,100k-1m,False
xiaohongshu,53eb6fab5e02706856d5,JUNG SAEM MOOL,K-beauty,South Korea,premium,base,JUNG SAEM MOOL 粉底液 测评,2026-02-10 00:00:00+00:00,2026-06-30 00:00:00+00:00,JUNG SAEM MOOL 粉底液｜轻薄服帖,通勤使用8小时记录，轻薄服帖。但有点卡粉,#粉底液 #K-beauty,64,5,9,2,100k-1m,False
douyin,555cfee3e26556d0773d,JUNG SAEM MOOL,K-beauty,South Korea,premium,base,JUNG SAEM MOOL 气垫 测评,2026-06-03 00:00:00+00:00,2026-06-30 00:00:00+00:00,JUNG SAEM MOOL 气垫｜轻薄服帖,通勤使用8小时记录，轻薄服帖。,#气垫 #K-beauty,79,8,21,1,100k-1m,False
douyin,d4dba8fa18fcfd04625c,JUNG SAEM MOOL,K-beauty,South Korea,premium,base,JUNG SAEM MOOL 粉底液 测评,2026-01-09 00:00:00+00:00,2026-06-30 00:00:00+00:00,JUNG SAEM MOOL 粉底液｜黄皮显白,通勤使用8小时记录，黄皮显白。,#粉底液 #K-beauty,158,15,36,12,100k-1m,False
douyin,a6123b93fb28a033f73f,JUNG SAEM MOOL,K-beauty,South Korea,premium,base,JUNG SAEM MOOL 粉底液 测评,2026-02-15 00:00:00+00:00,2026-06-30 00:00:00+00:00,JUNG SAEM MOOL 粉底液｜学生党平替,通勤使用8小时记录，学生党平替。敏感肌先试用,#粉底液 #K-beauty,1256,136,401,119,100k-1m,False
douyin,cdb8bdff7cbf2635258b,JUNG SAEM MOOL,K-beauty,South Korea,premium,base,JUNG SAEM MOOL 气垫 测评,2026-06-07 00:00:00+00:00,2026-06-30 00:00:00+00:00,JUNG SAEM MOOL 气垫｜轻薄服帖,通勤使用8小时记录，轻薄服帖。但有点卡粉,#气垫 #K-beauty,293,18,99,17,1k-10k,False
douyin,2c6b2a312fd504ab401d,JUNG SAEM MOOL,K-beauty,South Korea,premium,base,JUNG SAEM MOOL 粉底液 测评,2026-06-22 00:00:00+00:00,2026-06-30 00:00:00+00:00,JUNG SAEM MOOL 粉底液｜黄皮显白,通勤使用8小时记录，黄皮显白。敏感肌先试用,#粉底液 #K-beauty,403,15,86,8,1k-10k,False
xiaohongshu,79d8bb707b281e8648d0,3CE,K-beauty,South Korea,mid,lip,3CE 唇釉 测评,2026-04-20 00:00:00+00:00,2026-06-30 00:00:00+00:00,3CE 唇釉｜黄皮显白,通勤使用8小时记录，黄皮显白。略微沾杯,#唇釉 #K-beauty,46,5,16,4,100k-1m,False
xiaohongshu,2552e06294121a17d68a,3CE,K-beauty,South Korea,mid,lip,3CE 唇泥 测评,2026-01-23 00:00:00+00:00,2026-06-30 00:00:00+00:00,3CE 唇泥｜轻薄服帖,通勤使用8小时记录，轻薄服帖。,#唇泥 #K-beauty,244,17,18,4,1k-10k,False
xiaohongshu,44ebb6bfc003530a14f1,3CE,K-beauty,South Korea,mid,lip,3CE 唇釉 测评,2026-01-28 00:00:00+00:00,2026-06-30 00:00:00+00:00,3CE 唇釉｜轻薄服帖,通勤使用8小时记录，轻薄服帖。略微沾杯,#唇釉 #K-beauty,148,9,48,12,100k-1m,False
xiaohongshu,6c25ddd16bbfe015420d,3CE,K-beauty,South Korea,mid,lip,3CE 唇泥 测评,2026-03-02 00:00:00+00:00,2026-06-30 00:00:00+00:00,3CE 唇泥｜持妆实测,通勤使用8小时记录，持妆实测。下午会暗沉,#唇泥 #K-beauty,154,8,12,11,100k-1m,False
xiaohongshu,9f1c1aa4f51598bcaebd,3CE,K-beauty,South Korea,mid,lip,3CE 口红 测评,2026-06-21 00:00:00+00:00,2026-06-30 00:00:00+00:00,3CE 口红｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。下午会暗沉,#口红 #K-beauty,635,24,72,6,1k-10k,False
douyin,e5227d9b3e38bc5936dc,3CE,K-beauty,South Korea,mid,lip,3CE 唇泥 测评,2026-02-06 00:00:00+00:00,2026-06-30 00:00:00+00:00,3CE 唇泥｜轻薄服帖,通勤使用8小时记录，轻薄服帖。,#唇泥 #K-beauty,199,14,53,3,1k-10k,False
douyin,97912386b7c63d8c2c00,3CE,K-beauty,South Korea,mid,lip,3CE 唇釉 测评,2026-03-11 00:00:00+00:00,2026-06-30 00:00:00+00:00,3CE 唇釉｜持妆实测,通勤使用8小时记录，持妆实测。下午会暗沉,#唇釉 #K-beauty,13,1,4,0,10k-100k,False
douyin,b5bad4970c650b0aa2d7,3CE,K-beauty,South Korea,mid,lip,3CE 口红 测评,2026-02-06 00:00:00+00:00,2026-06-30 00:00:00+00:00,3CE 口红｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。敏感肌先试用,#口红 #K-beauty,734,29,216,40,10k-100k,False
douyin,f46d6bd5b36b20de9754,3CE,K-beauty,South Korea,mid,lip,3CE 唇泥 测评,2026-03-19 00:00:00+00:00,2026-06-30 00:00:00+00:00,3CE 唇泥｜黄皮显白,通勤使用8小时记录，黄皮显白。敏感肌先试用,#唇泥 #K-beauty,154,16,15,4,1k-10k,False
douyin,1f6dad989853af6494b3,3CE,K-beauty,South Korea,mid,lip,3CE 唇釉 测评,2026-05-14 00:00:00+00:00,2026-06-30 00:00:00+00:00,3CE 唇釉｜持妆实测,通勤使用8小时记录，持妆实测。略微沾杯,#唇釉 #K-beauty,144,9,51,2,10k-100k,False
xiaohongshu,c75ba99a88e3c76b0168,HERA,K-beauty,South Korea,premium,lip,HERA 唇泥 测评,2026-06-23 00:00:00+00:00,2026-06-30 00:00:00+00:00,HERA 唇泥｜持妆实测,通勤使用8小时记录，持妆实测。干皮可能拔干,#唇泥 #K-beauty,134,5,35,12,100k-1m,False
xiaohongshu,fa765d5e543c13284aec,HERA,K-beauty,South Korea,premium,base,HERA 气垫 测评,2026-05-28 00:00:00+00:00,2026-06-30 00:00:00+00:00,HERA 气垫｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。敏感肌先试用,#气垫 #K-beauty,1293,43,487,76,100k-1m,False
xiaohongshu,e893cd155f27976deb23,HERA,K-beauty,South Korea,premium,base,HERA 粉饼 测评,2026-06-15 00:00:00+00:00,2026-06-30 00:00:00+00:00,HERA 粉饼｜持妆实测,通勤使用8小时记录，持妆实测。,#粉饼 #K-beauty,70,7,14,1,1k-10k,False
xiaohongshu,d147245624e70e1cffe8,HERA,K-beauty,South Korea,premium,base,HERA 粉底液 测评,2026-04-12 00:00:00+00:00,2026-06-30 00:00:00+00:00,HERA 粉底液｜学生党平替,通勤使用8小时记录，学生党平替。略微沾杯,#粉底液 #K-beauty,483,30,43,34,10k-100k,False
xiaohongshu,c8ebb4c93aa536c837ad,HERA,K-beauty,South Korea,premium,base,HERA 气垫 测评,2026-01-19 00:00:00+00:00,2026-06-30 00:00:00+00:00,HERA 气垫｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。敏感肌先试用,#气垫 #K-beauty,190,11,57,17,10k-100k,False
douyin,143f7566a8bcdb091e35,HERA,K-beauty,South Korea,premium,lip,HERA 唇泥 测评,2026-04-12 00:00:00+00:00,2026-06-30 00:00:00+00:00,HERA 唇泥｜轻薄服帖,通勤使用8小时记录，轻薄服帖。略微沾杯,#唇泥 #K-beauty,336,39,79,29,10k-100k,False
douyin,5255cf986c3329eb3349,HERA,K-beauty,South Korea,premium,base,HERA 粉底液 测评,2026-04-06 00:00:00+00:00,2026-06-30 00:00:00+00:00,HERA 粉底液｜持妆实测,通勤使用8小时记录，持妆实测。略微沾杯,#粉底液 #K-beauty,453,19,134,20,1k-10k,False
douyin,4a84cad00fac3ab884d8,HERA,K-beauty,South Korea,premium,base,HERA 气垫 测评,2026-03-27 00:00:00+00:00,2026-06-30 00:00:00+00:00,HERA 气垫｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。但有点卡粉,#气垫 #K-beauty,1664,134,484,142,10k-100k,False
douyin,71c2c41a3b529a38b8fc,HERA,K-beauty,South Korea,premium,lip,HERA 口红 测评,2026-03-11 00:00:00+00:00,2026-06-30 00:00:00+00:00,HERA 口红｜学生党平替,通勤使用8小时记录，学生党平替。,#口红 #K-beauty,1800,214,581,84,10k-100k,False
douyin,f3240429a12630fee491,HERA,K-beauty,South Korea,premium,base,HERA 气垫 测评,2026-05-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,HERA 气垫｜轻薄服帖,通勤使用8小时记录，轻薄服帖。但有点卡粉,#气垫 #K-beauty,231,10,77,4,1k-10k,False
xiaohongshu,163229a9fbe80b35847f,AMUSE,K-beauty,South Korea,mid,lip,AMUSE 唇釉 测评,2026-01-21 00:00:00+00:00,2026-06-30 00:00:00+00:00,AMUSE 唇釉｜持妆实测,通勤使用8小时记录，持妆实测。下午会暗沉,#唇釉 #K-beauty,201,10,77,15,1k-10k,False
xiaohongshu,c7c0f74ab92c4af8b18b,AMUSE,K-beauty,South Korea,mid,lip,AMUSE 唇釉 测评,2026-06-14 00:00:00+00:00,2026-06-30 00:00:00+00:00,AMUSE 唇釉｜遮瑕力在线,通勤使用8小时记录，遮瑕力在线。略微沾杯,#唇釉 #K-beauty,39,3,13,1,100k-1m,False
xiaohongshu,7442f2e67deda4ca0018,AMUSE,K-beauty,South Korea,mid,lip,AMUSE 唇釉 测评,2026-02-14 00:00:00+00:00,2026-06-30 00:00:00+00:00,AMUSE 唇釉｜黄皮显白,通勤使用8小时记录，黄皮显白。下午会暗沉,#唇釉 #K-beauty,126,9,39,1,100k-1m,False
xiaohongshu,9407e81119802c75f76a,AMUSE,K-beauty,South Korea,mid,lip,AMUSE 唇泥 测评,2026-03-25 00:00:00+00:00,2026-06-30 00:00:00+00:00,AMUSE 唇泥｜持妆实测,通勤使用8小时记录，持妆实测。但有点卡粉,#唇泥 #K-beauty,70,5,7,1,10k-100k,False
